"Designator","Mid X","Mid Y","Layer","Rotation"
"J2","162.635mm","-73.015mm","top","180.0"
"U1","168.75mm","-112.25mm","top","90.0"
"J8","124.6461mm","-141.6686mm","top","90.0"
"F1","127mm","-73.25mm","top","-90.0"
"C1","143.256243mm","-121.25mm","top","180.0"
"U4","156.23mm","-85mm","top","0.0"
"U5","177.92mm","-67.214mm","top","180.0"
"U6","145.0545mm","-82.5mm","top","0.0"
"J1","176mm","-139mm","top","0.0"
"R1","134.5mm","-123.015mm","top","90.0"
"X2","156.2361mm","-139.1286mm","top","0.0"
"J6","132.75mm","-129mm","top","0.0"
"F2","126.5mm","-117.96mm","top","-90.0"
"U8","134.75mm","-83.5mm","top","-90.0"
"J3","175.475mm","-89.54mm","top","0.0"
"JP2","117.5011mm","-105.4736mm","top","-90.0"
"X3","167.0311mm","-139.1286mm","top","0.0"
"X1","140.3611mm","-139.1286mm","top","0.0"
"J7","128.71mm","-66.75mm","top","0.0"
"JP1","117.5011mm","-119.4436mm","top","-90.0"
"C2","146mm","-113.5mm","top","-90.0"
